Step,max-fid,min-fid
42,389.4219055,502.9562073
167,381.07528074,465.93005374
229,378.508778052,454.21715091199997
234,369.0996921216,436.2611169696
273,361.35045681727996,421.52070997568
474,353.30564621382393,400.61785582054404
536,345.06866247105916,379.5269323564352
579,329.14048905684734,360.26409960514815
586,315.8792003254779,348.28132362411856
634,303.7633486603823,330.35987335929485
647,295.4084633483059,319.23272900743586
714,287.0782385786447,304.73515476594866
808,278.0623772429157,292.25858889275895
1014,270.49602605433256,286.43517921420715
1333,265.16722490346604,280.1316181113657
1337,262.1724914627728,275.84789092909256
1385,260.58859437021823,273.72441260327406
1392,256.1713179961746,275.76602300261925
1436,254.4901977169397,273.94384256209537
1691,252.89000973355172,269.63934528967627
1734,252.75162264684138,264.45202799174103
1737,253.71927907747312,258.84291511339285
1877,249.6061819219785,256.8183903107143
1917,247.16836533758283,257.62568392857145
2036,245.79414051006626,257.2723489028572
2199,246.984592188053,255.85552560228575
2307,247.76550579044238,252.99126252182862
2389,246.06689377235392,251.2167923574629
2485,243.70301453788315,252.4798608859703
2486,243.2787537903065,250.23453568877625
2498,240.1357013922452,246.563565431021
2685,240.79498995379618,244.1759255848168
3038,241.55925550303695,241.94187572785347
3230,243.27166892242957,242.78215658228277
3246,240.27252007794365,245.3401204058262
3305,237.68480378235492,246.12010962466098
3618,234.77244018588397,245.7555908797288
3620,231.06968248870717,243.58553044378303
3670,233.82250015096574,239.98151639502643
3741,236.45249170077258,239.01578257602114
3814,238.35671688061808,238.6719675008169
3821,238.13505612449444,239.5902229206535
3956,237.70565841959558,238.9731915165228
4317,238.01871985567647,238.71110325321825
4400,238.95003448454116,238.5504133625746
4492,238.17647046763295,236.7915697100597
4509,237.74354149410638,238.43296280804776
4676,238.1751920752851,241.19202454643823
4788,239.22589280022808,240.7592470771506
4971,237.08732130018245,240.53257466172047
5134,239.64132616014598,242.3250312893764
5345,239.37083986811678,239.42398377150113
5359,239.35732557449342,238.1738336172009
5723,238.42013779959473,236.55207653376073
5864,240.16548951967576,240.8567247070086
5907,240.47562281574062,243.50264966560687
5990,237.5958516525925,244.02618285248548
6200,242.29042644207402,243.0980794619884
6219,240.20391097365922,240.8922422495907
6289,240.0853669389274,240.05062851967256
6574,242.5662275111419,241.22843921573804
6699,239.62473188891354,237.94903555259043
6711,240.57597569113082,236.75952752207235
6854,240.73156607290468,238.82401911765788
6966,240.97837723832376,240.7225179141263
7155,245.995146850659,240.94194561130104
7382,245.0952965605272,242.21066708904084
7460,241.82080816842176,240.9308688712327
7463,237.93102091473742,241.52478847698615
7511,239.22145247178992,241.45344894158893
7798,240.40567455743192,240.88674597327116
7833,240.80159348594555,240.16234781861692
7991,239.35413488875645,242.04767915489356
8066,239.13513591100516,241.67705018391484
8180,238.16245748880414,240.8869373871319
8221,238.9655555910433,239.5910898297055
8363,241.48646425283465,237.4351521437644
8498,239.47184352226773,238.59439857501155
8508,239.61927779781416,238.53141486000925
8601,241.74877611825133,236.1667304080074
8878,239.69884999460106,241.27553520640592
8935,239.34302165568084,243.33937958512473
8993,237.59050314454467,240.0596384280998
9260,236.66701615563574,237.54251970247984
9468,237.1307107045086,236.53344814198388
9554,235.4701874636069,239.35484079358713
9567,236.95096381088553,242.0130016548697
9698,239.02837052870842,239.90988862389574
9843,236.38476308296674,238.8164210391166
9907,237.82173564637338,237.65716209129326
10276,239.3813051370987,236.5689334130346
10283,236.10244400967898,238.2312789304277
10399,236.9925570077432,238.66960872434214
10479,236.01571614619456,240.6909054794737
10522,236.79805875695567,239.21515114357896
10607,236.45618686556452,235.12528253486317
10780,235.57773941245162,237.25721760789054
10902,235.5488248299613,240.50553910631243
10905,236.45659832396905,237.86878064504995
10966,237.84142001917525,238.89367563603997
10974,238.6614538953402,240.12917390883197
11020,239.76852469627215,239.7275945070656
11102,242.13618205701772,239.56464090565248
11419,240.9554544256142,236.99325936452198
11472,237.80240980049135,234.19530023161758
11532,238.54792150039307,233.22625972529406
11566,238.27710368031447,233.77538034023524
11685,236.48774434425155,234.1269479521882
11759,237.79054643540124,235.50962416175057
11969,235.495574968321,232.23718236940044
11974,235.8666229346568,231.82712381552034
12164,239.08193970772544,232.2731187324163
12290,238.86387634618035,231.69085520593305
12671,238.55947875694426,230.06322188474644
12877,236.2814605655554,229.98267588779714
13034,236.5906744324443,230.3904589502377
13061,237.01472704595545,229.20265342019016
13546,236.04414553676435,231.15014763615213
13597,233.33489222941148,232.7727304089217
13620,232.87137142352918,233.74536022713733
13810,232.23792659882332,235.27436436170984
14080,234.85321053905867,239.05996390936787
14221,236.1976380112469,236.3488775074943
14294,233.71566960899753,235.68018842599545
14338,234.14931486719803,234.10380650079637
14447,233.64804991375843,233.6177467406371
14638,235.58789489100675,232.91807739250967
14668,233.35688817280538,231.16097863400776
14779,236.93461941824432,232.11006646720622
14873,234.02059897459546,232.913571973765
15473,232.49248931967637,234.12143679901197
15507,233.92936743574109,236.32109353920958
15740,236.19315520859288,236.51110761136766
15764,233.9805922868743,235.67759030909411
16116,234.64273798949944,235.7865119472753
16249,233.55455293159957,239.21019405782022
16321,232.42056800527968,236.82375826625616
16809,232.83248102422374,235.23424159300492
16857,229.962786579379,234.70993661440394
17066,229.66797096350322,235.49254951152315
17097,231.86435723080257,234.57142302921852
17317,232.32478046464206,236.1421726033748
17339,234.25787735171366,236.68767606269986
17543,232.69156188137094,238.45932665015988
17557,236.93899474509675,235.62721778012792
17586,236.69501599607742,235.26716728410236
18451,234.39415671686191,233.97543426728188
19116,232.58457281348953,231.5907447538255
19169,233.2580940507916,232.24712278306043
19531,231.0171716606333,233.73038864644835
19640,235.67606642850663,237.3747070371587
19654,236.1048393428053,235.08282532972697
19731,234.40224611424424,237.21624500378158
19846,235.11846437139542,233.66467996302526
19995,234.53933325711634,235.56014057042023
20053,234.47013238569306,236.5192824963362
20062,235.07407038855445,238.06646969706895
20138,232.33278231084358,238.18099253765516
20244,232.83161890867487,237.78525119012414
20252,235.8570981069399,239.3373012920993
20323,236.40917396555193,238.12454073367945
20440,238.05280609244156,234.15611146694354
20539,237.86422057395325,230.56324977355484
20540,236.69507823916263,231.55175643884388
20578,236.6057116313301,233.75651135107512
20779,235.5715474450641,236.7866513408601
20782,234.6502402760513,234.70274637268807
20831,233.71165646084106,233.25176007815045
20855,235.03276816867287,233.33780332252036
21080,235.10336907493829,233.6153323780163
21144,234.87286249995063,234.46168424241304
21232,234.1024831199605,235.62126389393046
21319,236.9748331759684,234.82932617514436
21391,236.45703940077473,234.56639368011548
21523,240.76581462061978,236.1372244440924
21848,241.94429841649583,234.9689043152739
22245,240.35902759319666,236.31880631221912
22292,240.09866311455733,235.0764165097753
22330,240.78347151164587,234.19927102782026
22358,237.9186259693167,238.5455557422562
22472,237.81907741545336,236.35652821380495
22840,238.7712104123627,233.78383403104397
23138,239.69853876989015,231.95667538483517
23148,239.35606917591213,233.44825350786815
23192,237.4390332007297,235.51239614629452
23218,237.6339444605838,233.0857195370356
23286,238.33282390846705,234.6543574896285
23361,237.67979366677363,232.1196316117028
23427,237.21800181341894,232.78924166936224
23540,236.82424275073515,234.03668813548978
23670,235.3077371005881,234.42134574839181
23681,236.45181406047047,233.14699175871345
23701,240.10411176837636,237.31681520697077
23938,238.93779685470108,236.59750428557663
24147,240.07711736376086,234.85943652846132
24282,238.1142299110087,233.80312844276904
24284,239.34745386880695,235.5027932742152
24322,239.43649581504556,237.77212291937215
24345,238.67403795203646,238.77653927549773
24621,237.83851320162915,235.75727878039817
24719,234.44465394130333,233.74228542431854
24727,232.00511279304266,234.22085469945483
24901,232.8760811944341,233.5795249395639
24934,236.68913399554728,233.5789489316511
25008,238.48021955643782,235.82463374532085
25253,236.45738120515026,236.11638119625667
25332,237.5174125241202,235.83231393700532
25391,236.00909603929617,237.11447174960426
25812,235.05173789143694,234.38235193968342
25847,236.87090385314957,234.97863851174674
25921,235.43796454251967,233.0834296093974
26066,236.01633843401572,232.42210256751792
26155,235.27507026721258,229.76153459401434
26303,236.36633307377008,231.24775001521147
26470,236.79907841901607,231.38551995216918
26797,233.91299931521286,231.32411116173535
26798,233.9313271921703,231.31106200938828
26829,233.01397349373624,232.06178600751065
27142,234.621359454989,231.48236338600853
27154,232.44815872399118,232.6797078488068
27158,232.57137793919293,236.73925273904544
27159,232.93938689135436,233.51042075123635
27274,235.5439106330835,235.2356864609891
27505,236.3548153864668,234.96098264879126
27603,237.16172400917344,234.421785999033
27638,238.40468438733873,232.6900746792264
27825,238.094465889871,232.0177335633811
27916,237.3612447118968,230.74452437070488
27968,234.18317910951745,232.0638079765639
28438,235.48766266761396,233.37901268125114
28451,234.93759411409116,233.32966582500092
28543,234.60186667127292,231.92504858000072
28572,234.07013469701832,233.1942258840006
28970,237.25153621761467,235.70559432720046
28996,235.41334139409173,234.53323766176035
29062,233.95809621527337,236.9522950894083
29201,233.7541081922187,237.30451491152664
29263,234.09054241377495,236.2547264292213
29471,231.69024093101996,237.42275086337708
29487,230.18854834481596,235.83875917070168
29561,233.1205041958528,235.62867639656136
29611,233.10457595668223,235.54953229724907
29829,232.0410460253458,234.15172605779927
30005,229.69305716027665,236.6008058862394
30031,230.02149894822134,235.62959794899152
30092,230.07666875857709,237.08445533919323
30174,230.81943436686166,237.99364155135459
30243,233.42607667348932,238.19963736108366
30327,236.76761609879145,236.24336162886692
30470,235.10267319903318,238.08639158309353
30612,235.49270069922656,235.67413340647482
30706,234.72574929938125,235.42775276517986
30720,235.245815499505,235.31920417214388
31406,235.898251519604,233.6610914777151
31443,235.7011817756832,235.15745594217208
31696,234.55927306054656,233.03147623373766
31880,233.66948876843725,232.46670014699015
31936,235.17078389474977,233.84057203759212
31945,234.0412444157998,234.74316991007368
32004,236.52187187263985,235.74911660805896
32174,233.5252245581119,237.33525214644715
32207,234.21318196648951,236.1117930171577
32435,236.0709117931916,236.71620137372616
32542,237.96924163455327,235.45655179898094
32657,237.6573513076426,233.64013461918475
32762,234.7835806261141,233.6594679153478
32894,235.01113268089125,234.99394091227825
32902,235.50889088471303,237.21529126982261
33034,235.32354032777044,235.4004709358581
33152,236.12743272221635,232.95228592868648
33179,238.14794531777306,231.0709596029492
33181,237.87631523421845,232.16599620235934
33271,236.52559136737477,231.72491426188748
33341,236.98797797389983,234.69890112950998
33375,239.71450347911988,235.669551803608
33403,240.2782952832959,233.3034576028864
33728,240.0686536866367,234.39575986230912
33737,238.58969162930936,232.7629152698473
33749,238.91245154344747,232.07443133587785
33768,237.56977141475798,233.2851645687023
33785,233.9241276718064,231.70093743496184
33839,233.82803809744513,235.70281232796947
33851,233.19628057795612,234.8183411623756
33876,234.8031182223649,236.65318672990048
33913,235.1065235178919,235.15267022392038
34017,233.9320114143135,235.45509211913628
34036,232.3623297114508,233.54592183530903
34141,235.89526538916064,233.26865274824723
34362,235.9302534513285,234.5863363785978
34383,232.5554179610628,235.82283496287823
34525,233.54719690885025,236.2728431703026
34599,233.4034222070802,234.91683105624207
34783,231.63130100566417,237.79568408499364
35333,232.92953726453135,239.5058404879949
35354,234.30865971162507,238.33060927039594
35362,232.63077480930005,237.88972545631677
35377,232.39848276744004,236.40454770505343
35483,231.38348347395203,236.75016710404273
35573,231.46039089916164,235.81198976323418
35771,233.2696554993293,236.36085585058737
35778,231.17090017946344,236.4901922404699
35849,231.51720720357076,237.4538054123759
35953,230.5366386828566,236.00102650990075
35970,230.79261966628528,237.19111662792062
36037,233.11632535302823,236.7356905423365
36246,230.9178314024226,236.8487056338692
36275,229.51816100193807,235.11786526709537
36629,229.87711424155046,235.1580373336763
36659,231.45628123324036,233.60397198694105
36767,234.04145016659228,233.93160898955284
36819,234.42366001327383,235.23375155164229
36850,233.19408549061907,236.24280874131384
36907,231.24692183249525,237.79167741305108
37202,231.1818148059962,239.82404017044087
37455,232.86450702479695,239.32909603635272
37489,233.01203407983758,241.64599166908218
37764,236.18633320387005,243.26088513526574
37876,236.84101602309602,241.5496413282126
38192,238.10504547847682,239.0734136225701
38439,236.65660412278146,237.30813885805608
38455,233.17490183822517,240.34425584644487
38720,234.50201559058013,241.2806750571559
38840,234.1538097324641,237.15193262572473
38981,235.7014535459713,235.73983528057977
39005,235.58115489677704,238.59770928446383
39296,233.50445943742162,240.31582612757106
39702,233.4604736699373,239.19866004205684
39730,233.63986941594982,239.1147507936455
39781,231.65100991275986,240.19188913491638
39878,233.2152689902079,240.5745775879331
39909,234.45703879216632,241.21969931034647
39914,233.52488395373305,240.08598282827717
40020,233.38261162298645,240.39566920262175
40296,234.42052715838918,238.54946382209738
40500,237.98736776671134,240.72783399767792
40647,237.39186565336905,239.11705113814233
40663,236.16881478269525,238.2112465105139
40667,233.7951012661562,238.36659242841114
40700,235.63040475292496,238.1116455227289
40720,235.95801032233996,234.91733765818313
40793,234.70284319787197,234.4214586265465
41040,236.65781593829757,233.2937281812372
41244,238.13585663063805,231.48077722498977
41271,235.06112670451043,235.18011737999183
41341,233.71035460360835,234.61618862399348
41539,234.1968206628867,237.89203537919477
41555,233.71227221030938,239.0063010233558
42013,232.1581417482475,239.04343803868466
42134,234.328167458598,239.02402045094772
42244,236.3950473868784,239.10572148075818
42450,236.4512735095027,237.47427444460655
42468,234.79177136760217,237.71208557568522
42678,233.36292759408173,239.41359242054818
42981,232.8884011552654,240.48670889643853
43278,232.0568909642123,238.16714727715083
43518,233.49973641136984,237.87236528172065
43553,233.61507842909586,236.4180185653765
43607,235.5831149832767,235.55577105230122
43639,232.94064360662134,242.710235741841
43711,234.38955712529707,239.44588329347278
43738,234.57872334023767,238.58817025477822
43742,234.06364701219013,237.8800302238226
43805,235.2752919897521,236.31057629905806
43993,235.1764195118017,235.38253391924644
44073,232.84862766944136,234.21735831539715
44200,233.7843983555531,237.71002861231773
44207,236.60926916444248,236.6463615098542
44251,237.92825395155398,236.92759336788333
44304,236.9560736212432,237.46177073430667
44585,238.42571705699456,239.21342292744532
44802,236.67045950559563,238.27986614195626
44816,234.4915708444765,240.14477609356499
44964,232.5336436355812,240.961350054852
45310,233.79869530846494,239.71079452388162
45319,232.11583918677195,239.35887609910532
45372,230.93593000941755,238.00696781928426
45507,231.58907604753404,237.8369341154274
45658,232.14352035802725,238.14196855234192
46033,230.6056793264218,240.89437318187353
46090,231.99147096113745,238.95523854549882
46169,233.08344776891,237.28070389639905
46205,233.750251255128,239.28680981711923
46318,233.0516597441024,235.91940451369538
46334,235.42284329528195,236.1196514109563
46413,237.83544565622557,236.91549956876503
46499,237.02216206498048,236.070027835012
47241,237.8092335519844,236.0616161480096
47301,235.3754141815875,234.11784759840768
47321,234.82529778527,233.41176159872617
47489,233.506222108216,234.95121103898094
47585,233.9666842265728,239.06636739118477
47638,233.54971152125825,240.21369267294781
47669,232.83891471700662,237.91047745835826
47705,233.1577009936053,237.2005529866866
47744,233.64260061488423,237.1979790093493
47882,234.60007903190737,235.46830142747945
47947,233.4591281655259,237.18224918198356
47970,233.58259183242072,237.04814614558686
48076,234.39027390593657,237.1977606964695
48181,235.11300038474926,235.5654930971756
48227,235.7659374077994,237.86786077774047
48522,232.18832060623953,238.1629592821924
48844,232.81945836499162,236.89279722575392
49272,230.08969449199327,236.00971202060313
49326,231.3801723335946,233.75899641648252
49351,232.0863613868757,231.64291491318602
49477,232.37466772950054,233.0248513305488
49558,235.13941618360045,236.21721688443904
49619,238.03055150688036,237.10898774755123
50006,237.4688564855043,239.52089075804096
50056,236.76584446840343,238.99674800643277
50149,235.13022013472275,239.10297396514622
50165,233.9882367677782,240.89660951211698
50195,233.85273235422258,239.71137940969356
50268,233.30815940337808,242.62436476775486
50629,234.14583172270247,242.21756431420388
50819,233.75702791816198,242.4551122513631
50979,235.89987281452957,242.78427412109048
51134,233.68375323162365,243.0813743768724
51227,235.15261782529893,242.1399743814979
51282,237.79771682023915,242.8637861451983
51342,238.64167381619131,239.83525499615865
51750,241.59360333295305,237.73478113692693
51798,240.95921798636246,238.22133930954152
51806,239.17096020908997,237.49193656763322
51954,238.90231076727198,234.6791785341066
52001,239.1837352138176,233.4101305472853
52067,239.2538485310541,235.58512043782824
52237,240.6463374848433,234.8324548702626
52292,240.5723373278746,236.36540237621008
52353,237.3341760222997,233.92606518096807
52510,237.42388073783974,234.91255014477446
52528,237.9342217702718,232.77655805581955
52682,240.81965829621743,235.67550364465563
52906,238.30136567697394,234.5435645357245
52939,237.81419740157915,232.9823858085796
53092,237.80372914126332,232.6773545668637
53107,237.78366629301064,232.27050303349097
53468,236.7071576344085,231.0878013467928
53706,234.24258156752683,234.03469115743422
53713,231.90691009402147,235.24566064594737
53717,233.09132703521718,235.86474141675788
53721,234.58306528817374,238.0350334934063
53862,236.020242510539,237.62589055472503
53906,237.46544938843118,236.25674576378003
54072,236.96598133074494,237.284800291024
54087,236.67543398459594,236.4481466328192
54108,234.54002980767677,237.91545394625535
54123,234.77248404614141,235.56784289700428
54241,234.37052325691315,236.40181459760345
54691,235.19966262553052,236.42119227808274
54807,234.72626452042442,234.4760560024662
54937,233.37500269633955,233.74812996197295
54982,233.62589937707165,233.07826776957836
55193,234.39039846165733,233.1898114756627
55299,235.48873782932586,234.13757610053017
55302,236.9138357234607,235.46237106042412
55328,236.72879807876853,237.51235900833927
55359,237.6855927830148,237.46965282667142
55543,239.82837840641184,238.55233358133714
55551,240.61255014512946,235.41777934506973
55713,238.01622419610356,234.4939616360558
55766,235.92138083688286,233.11462730884463
56091,234.4542463895063,234.3772426270757
56337,234.76148061160504,235.60077786166056
56507,234.02037528928403,237.03466586932845
56521,236.06054461142722,237.06205581546277
56608,235.05338258914176,239.25236987237022
56787,237.57230507131342,239.7269019978962
56820,237.33495891705073,238.55051573831696
56999,235.4636610936406,235.8377575706536
57299,235.7650237149125,236.65819127652287
57305,234.81135063193,233.8591885212183
57484,234.999992985544,231.68916051697465
57760,233.0388280084352,233.7770394735797
58295,233.35640114674817,235.48728709886376
